id,project_name,address,suburb,postcode,council_short,category_label,filter_group,stage_label,status_raw,cost,cost_confidence,electrical_estimate_low,electrical_estimate_high,opportunity_score,priority_label,builder,dwellings_new,lots_proposed,gfa_proposed,storeys,distance_km,date_lodged,date_determined,contact_window,contact_target,source_ref,council_ref,lat,lon
TS-LAKE-972184,"Medical centre, Gateshead",49 O'Brien Street Gateshead 2290,Gateshead,2290,Lake Macquarie,Healthcare,Government,Construction certificate issued,Determined,1633207.04,medium,228649,359306,97,High priority,RED EYE GROUP NSW PTY LTD,0,1,443.0,1,10.4,2026-06-12,2026-06-23,Call this week,RED EYE GROUP NSW PTY LTD — site manager or contracts administrator,CFT-972184,,-32.982158623,151.690603958
TS-NEWC-980170,"Light industry, Beresfield",34 Craftsman Close Beresfield 2322,Beresfield,2322,Newcastle,Industrial,Industrial,Construction certificate issued,Determined,3562491.0,high,356249,641248,95,High priority,CARAFA CONSTRUCTIONS PTY LTD,0,,2806.0,0,20.2,2026-07-06,2026-07-20,Call this week,CARAFA CONSTRUCTIONS PTY LTD — site manager or contracts administrator,CFT-980170,,-32.801561196,151.626782637
TS-LAKE-1018137,"Centre-based child care, Boolaroo",5 Lakeview Street Boolaroo 2284,Boolaroo,2284,Lake Macquarie,Education,Government,Construction certificate issued,Determined,3294500.0,high,362395,560065,95,High priority,BROWN COMMERCIAL BUILDING PTY LIMITED,0,,633.0,1,14.8,2026-08-26,2026-09-08,Call this week,BROWN COMMERCIAL BUILDING PTY LIMITED — site manager or contracts administrator,CFT-1018137,,-32.950728587,151.625288658
TS-LAKE-935823,"Attached dwelling (16 dwellings), Wakefield",282 Rhondda Road Wakefield 2278,Wakefield,2278,Lake Macquarie,Commercial,Commercial,Construction certificate issued,Determined,16500000.0,high,1485000,2475000,94,High priority,,16,,2760.0,2,19.8,2026-06-18,2026-06-18,Call this week,Site manager or contracts administrator at the named builder,CFT-935823,,-32.962025004,151.57332062
TS-NEWC-962080,"Industrial development, Mayfield West",60 Riverside Drive Mayfield West 2304,Mayfield West,2304,Newcastle,Industrial,Industrial,Construction certificate issued,Determined,3791952.91,medium,379195,682552,94,High priority,BROWN COMMERCIAL BUILDING PTY LIMITED,0,,0.0,0,8.3,2026-05-28,2026-05-29,Call this week,BROWN COMMERCIAL BUILDING PTY LIMITED — site manager or contracts administrator,CFT-962080,,-32.876784802,151.716670693
TS-NEWC-995952,"Office Premise, Newcastle West",L 560 Hunter Street Newcastle West 2302,Newcastle West,2302,Newcastle,Retail,Commercial,Construction certificate issued,Determined,3285218.0,medium,328522,525635,92,High priority,Core Project Group Pty Ltd,0,,269.0,2,1.3,2026-07-22,2026-08-19,Call this week,Core Project Group Pty Ltd — site manager or contracts administrator,CFT-995952,,-32.927177485,151.767542954
TS-LAKE-995972,"Centre-based child care, Argenton",415 Lake Road Argenton 2284,Argenton,2284,Lake Macquarie,Education,Government,Construction certificate lodged,Under Assessment,2158552.36,medium,237441,366954,92,High priority,The Trustee for Vivid ELS Properties 3 Unit Trust,,,0.0,0,13.5,2026-07-22,,Call within 2 weeks,The Trustee for Vivid ELS Properties 3 Unit Trust — site manager or contracts administrator,CFT-995972,,-32.933440562,151.637678423
TS-PORT-1025955,"Residential flat building, Nelson Bay",90 Magnus Street Nelson Bay 2315,Nelson Bay,2315,Port Stephens,New residential,Residential,Construction certificate issued,Determined,5453572.3,high,327214,545357,91,High priority,HPAC PTY LTD,0,,711.12,4,41.1,2026-09-01,2026-09-09,Call this week,HPAC PTY LTD — site manager or contracts administrator,CFT-1025955,,-32.720775626,152.145932413
TS-LAKE-1009249,"Industrial development, Belmont",24 Bluebell Street Belmont 2280,Belmont,2280,Lake Macquarie,Industrial,Industrial,Construction certificate issued,Determined,4657713.5,medium,465771,838388,91,High priority,GIBBENS CONSTRUCTIONS PTY LTD,0,,1910.0,1,15.4,2026-08-12,2026-08-25,Call this week,GIBBENS CONSTRUCTIONS PTY LTD — site manager or contracts administrator,CFT-1009249,,-33.026872141,151.666072014
TS-LAKE-1014577,"Light industry, Gateshead",51 Oakdale Road Gateshead 2290,Gateshead,2290,Lake Macquarie,Industrial,Industrial,Construction certificate issued,Determined,2984500.0,medium,298450,537210,91,High priority,Safetybuild,0,,0.0,2,10.2,2026-08-25,2026-09-02,Call this week,Safetybuild — site manager or contracts administrator,CFT-1014577,,-32.989483806,151.700924092
TS-LAKE-657429,"Mixed use development (131 dwellings), Morisset Park",81 Trinity Point Drive Morisset Park 2264,Morisset Park,2264,Lake Macquarie,Commercial,Commercial,DA on public exhibition,Under Assessment,463012395.0,high,41671116,69451859,89,High priority,,131,10,,8,31.2,2026-08-05,,Register interest now,Developer or architect,PAN-657429,DA/1141/2026,-33.123035506,151.540579087
TS-CESS-948380,"Hotel or motel accommodation, North Rothbury",1823 Wine Country Drive North Rothbury 2335,North Rothbury,2335,Cessnock,Retail,Commercial,Construction certificate lodged,Under Assessment,17173608.7,high,1717361,2747777,89,High priority,,0,,3759.0,6,49.9,2026-05-27,,Call within 2 weeks,Estimator or contracts administrator at the named builder,CFT-948380,,-32.6714535663337,151.343342163571
TS-MAIT-989697,"Erection of a new structure, Rutherford",91 Grand Parade Rutherford 2320,Rutherford,2320,Maitland,Commercial,Commercial,Construction certificate issued,Determined,7047341.4,medium,634261,1057101,89,High priority,The Trustee for Swing Factory Maitland Unit Trust,0,,0.0,0,34.7,2026-07-16,2026-07-23,Call this week,The Trustee for Swing Factory Maitland Unit Trust — site manager or contracts administrator,CFT-989697,,-32.720250036,151.504904589
TS-LAKE-1016639,"Industrial development, Rathmines",12 Darrambal Close Rathmines 2283,Rathmines,2283,Lake Macquarie,Industrial,Industrial,Construction certificate issued,Determined,4800000.0,medium,480000,864000,89,High priority,,0,,2883.0,3,23.3,2026-08-24,2026-08-24,Call this week,Site manager or contracts administrator at the named builder,CFT-1016639,,-33.038916256,151.569030191
TS-LAKE-962556,"Centre-based child care, Edgeworth","26 Oakville Road, Edgeworth",Edgeworth,2285,Lake Macquarie,Education,Government,Construction certificate issued,Determined,3314658.0,high,364612,563492,89,High priority,,0,,820.0,1,15.2,2026-05-26,2026-08-06,Call this week,Site manager or contracts administrator at the named builder,CFT-962556,,-32.920755799,151.619615067
TS-MAIT-991892,"Centre-based child care, Rutherford",7 Regiment Road Rutherford 2320,Rutherford,2320,Maitland,Education,Government,Construction certificate issued,Determined,2996101.52,medium,329571,509337,89,High priority,BROWN COMMERCIAL BUILDING PTY LIMITED,0,,0.0,0,34.3,2026-07-14,2026-08-19,Call this week,BROWN COMMERCIAL BUILDING PTY LIMITED — site manager or contracts administrator,CFT-991892,,-32.713496486,151.518204233
TS-LAKE-971019,"Multi-dwelling housing (8 dwellings), Whitebridge",23 Hudson Street Whitebridge 2290,Whitebridge,2290,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,5335000.0,high,320100,533500,88,High priority,Graph Builders Pty Ltd,8,,0.0,2,8.6,2026-06-20,2026-06-20,Call this week,Graph Builders Pty Ltd — site manager or contracts administrator,CFT-971019,,-32.980066995,151.712913245
TS-LAKE-983776,"Industrial development, Bennetts Green",59 Pacific Highway Bennetts Green 2290,Bennetts Green,2290,Lake Macquarie,Industrial,Industrial,Construction certificate lodged,Under Assessment,3920000.0,medium,392000,705600,88,High priority,INSIGHT BUILDING SERVICES PTY LTD,0,,,0,11.9,2026-07-01,,Call within 2 weeks,INSIGHT BUILDING SERVICES PTY LTD — site manager or contracts administrator,CFT-983776,,-32.999488548,151.686866227
TS-NEWC-357536,"Erection of a new structure, Mayfield North",109 Selwyn Street Mayfield North 2304,Mayfield North,2304,Newcastle,Infrastructure,Infrastructure,Complying development approved,Approved,2000000.0,medium,240000,440000,86,High priority,,,,,1,4.2,2026-06-12,2026-06-16,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-357536,CD2026/01138,-32.894092561,151.762225742
TS-LAKE-980179,"Commercial development, Morisset",66 Mandalong Road Morisset 2264,Morisset,2264,Lake Macquarie,Commercial,Commercial,Construction certificate issued,Determined,1985637.8,high,178707,297846,86,High priority,DRAYTON GROUP PTY LTD,0,1,2438.0,1,35.5,2026-07-10,2026-08-14,Call this week,DRAYTON GROUP PTY LTD — site manager or contracts administrator,CFT-980179,,-33.113527784,151.471020886
TS-NEWC-964550,"Alterations or additions to an existing building or structure, Hamilton North",54A Clyde Street Hamilton North 2292,Hamilton North,2292,Newcastle,Industrial,Industrial,Construction certificate issued,Determined,1113511.3,medium,111351,200432,86,High priority,CORPORATE CONSTRUCTION GROUP PTY LTD,0,,820.4,2,4.5,2026-05-29,2026-06-15,Call this week,CORPORATE CONSTRUCTION GROUP PTY LTD — site manager or contracts administrator,CFT-964550,,-32.910285945,151.738128323
TS-LAKE-983710,"Group homes, Teralba",50 Outrigger Drive Teralba 2284,Teralba,2284,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,6322800.0,medium,379368,632280,85,High priority,KINGSTON BUILDING PTY LTD,0,1,1007.0,2,17.3,2026-07-03,2026-07-08,Call this week,KINGSTON BUILDING PTY LTD — site manager or contracts administrator,CFT-983710,,-32.974194636,151.604605915
TS-NEWC-1031680,"Light industry, Tighes Hill",4 Revelation Close Tighes Hill 2297,Tighes Hill,2297,Newcastle,Industrial,Industrial,Construction certificate lodged,Under Assessment,1602306.0,medium,160231,288415,85,High priority,,0,,246.0,0,3.3,2026-09-17,,Call within 2 weeks,Estimator or contracts administrator at the named builder,CFT-1031680,,-32.906735859,151.756725974
TS-MAIT-357408,"School, Ashtonfield",42 Norfolk Street Ashtonfield 2323,Ashtonfield,2323,Maitland,Education,Government,Complying development approved,Approved,3040638.7,medium,334470,516909,84,Medium priority,,,,,,24.8,2026-05-26,2026-05-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-357408,26/0008,-32.768819355,151.596155296
TS-NEWC-971291,"Shop top housing, Newcastle",34-38 King Street Newcastle 2300,Newcastle,2300,Newcastle,Commercial,Commercial,Construction certificate issued,Determined,500000.0,high,45000,75000,84,Medium priority,BUILD CULTURE PTY LTD,1,,516.0,3,0.2,2026-06-11,2026-06-12,Call this week,BUILD CULTURE PTY LTD — site manager or contracts administrator,CFT-971291,,-32.928487645,151.78338978
TS-LAKE-1026394,"Centre-based child care, Morisset",4 Stockton Street Morisset 2264,Morisset,2264,Lake Macquarie,Education,Government,Construction certificate issued,Determined,2750000.0,medium,302500,467500,83,Medium priority,,0,,645.3,2,34.3,2026-09-09,2026-09-09,Call this week,Site manager or contracts administrator at the named builder,CFT-1026394,,-33.103048533,151.478335267
TS-PORT-1026061,"General industry, Tomago",8 Kennington Drive Tomago 2322,Tomago,2322,Port Stephens,Industrial,Industrial,Construction certificate issued,Determined,997601.0,medium,99760,179568,83,Medium priority,The Trustee for 6 Kennington Properties Unit Trust,0,0,471.0,2,14.2,2026-07-15,2026-09-17,Call this week,The Trustee for 6 Kennington Properties Unit Trust — site manager or contracts administrator,CFT-1026061,,-32.816766099,151.706646312
TS-LAKE-632717,"Seniors housing (35 dwellings), Booragul",79 Marmong Street Booragul 2284,Booragul,2284,Lake Macquarie,Commercial,Commercial,DA under assessment,Under Assessment,41530247.0,high,3737722,6229537,82,Medium priority,,35,,,2,16.6,2026-06-02,,"Register interest now, follow up at approval","Developer, architect or planning consultant",PAN-632717,DA/2257/2018/B,-32.977742652,151.613464316
TS-LAKE-641449,"Independent living units (16 dwellings), Toronto",14 Cook Street Toronto 2283,Toronto,2283,Lake Macquarie,Commercial,Commercial,Development approved,Determined,8683156.59,high,781484,1302473,82,Medium priority,,16,,,,19.9,2026-05-24,2026-07-30,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-641449,DA/1543/2016/L,-33.009310744,151.591346882
TS-MAIT-380220,"Office Premise, Rutherford",15 Spitfire Place Rutherford 2320,Rutherford,2320,Maitland,Retail,Commercial,Complying development approved,Approved,8072017.73,high,807202,1291523,82,Medium priority,,1,,,2,35.8,2026-09-07,2026-09-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-380220,16772-01,-32.704107889,151.506674496
TS-NEWC-381206,"Warehouse or distribution centre, Black Hill",16 Viney Creek Drive Black Hill 2322,Black Hill,2322,Newcastle,Industrial,Industrial,Complying development approved,Approved,1700000.0,medium,170000,306000,82,Medium priority,,,,,1,18.9,2026-08-31,2026-08-31,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-381206,CDC/5710942-A,-32.819609743,151.62678014
TS-NEWC-947879,"Office Premise, The Junction",52 Glebe Road the Junction 2291,The Junction,2291,Newcastle,Commercial,Commercial,Construction certificate issued,Determined,905000.0,medium,81450,135750,82,Medium priority,EVERCON BUILDING PTY LTD,0,,275.0,2,2.3,2026-06-03,2026-06-03,Call this week,EVERCON BUILDING PTY LTD — site manager or contracts administrator,CFT-947879,,-32.938548014,151.760098109
TS-MAIT-643184,"255-lot subdivision, Lochinvar",898 New England Highway Lochinvar 2321,Lochinvar,2321,Maitland,Subdivision,Residential,Development approved,Determined,24607818.0,high,984313,2214704,81,Medium priority,,,255,,,39.2,2026-06-04,2026-08-24,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-643184,DA/2023/415:2,-32.699155607,151.462657705
TS-NEWC-354277,"General industry, Beresfield",19 Craftsman Close Beresfield 2322,Beresfield,2322,Newcastle,Industrial,Industrial,Complying development approved,Approved,1733416.0,medium,173342,312015,81,Medium priority,,,,,2,20.1,2026-05-27,2026-05-27,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-354277,2026/057,-32.801412987,151.627758214
TS-LAKE-960934,"Centre-based child care, Wangi Wangi",27 Summerhill Drive Wangi Wangi 2267,Wangi Wangi,2267,Lake Macquarie,Education,Government,Construction certificate issued,Determined,952156.78,high,104737,161867,81,Medium priority,,1,1,303.0,1,24.7,2026-07-13,2026-07-14,Call this week,Site manager or contracts administrator at the named builder,CFT-960934,,-33.066986039,151.574238447
TS-NEWC-656996,"Demolition (24 dwellings), Jesmond",93 Blue Gum Road Jesmond 2299,Jesmond,2299,Newcastle,Commercial,Commercial,Development approved,Determined,2638897.08,high,237501,395835,80,Medium priority,,24,,,,9.0,2026-07-21,2026-09-14,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-656996,MA2026/01222,-32.898217558,151.692182442
TS-NEWC-369671,"Office Premise, Newcastle West",727 Hunter Street Newcastle West 2302,Newcastle West,2302,Newcastle,Commercial,Commercial,Complying development approved,Approved,1815860.0,medium,163427,272379,79,Medium priority,,,,,,2.0,2026-07-03,2026-07-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-369671,26000233,-32.926287851,151.760690596
TS-LAKE-981926,"Multi-dwelling housing (8 dwellings), Mount Hutton",55 Tennent Road Mount Hutton 2290,Mount Hutton,2290,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,1700000.0,high,102000,170000,79,Medium priority,JADE BUILDINGS & CONSTRUCTIONS PTY LTD,8,8,1000.0,2,11.7,2026-06-29,2026-07-01,Call this week,JADE BUILDINGS & CONSTRUCTIONS PTY LTD — site manager or contracts administrator,CFT-981926,,-32.982200988,151.674399546
TS-LAKE-1029882,"Demolition, Mandalong",743 Mandalong Road Mandalong 2264,Mandalong,2264,Lake Macquarie,Infrastructure,Infrastructure,Construction certificate lodged,Under Assessment,631749.0,medium,75810,138985,78,Medium priority,CUB CONSTRUCTIONS PTY LTD,0,,0.0,1,41.3,2026-09-18,,Call within 2 weeks,CUB CONSTRUCTIONS PTY LTD — site manager or contracts administrator,CFT-1029882,,-33.142639937,151.41968767
TS-LAKE-363603,"Industrial development, Gateshead",53 Oakdale Road Gateshead 2290,Gateshead,2290,Lake Macquarie,Industrial,Industrial,Complying development lodged,Under Assessment,14794316.49,medium,1479432,2662977,77,Medium priority,,,,,,10.2,2026-06-04,,Call within a month,Applicant or their builder,CDC-363603,CDC 26-10470,-32.990309369,151.701342907
TS-LAKE-654413,"Multi-dwelling housing (10 dwellings), Toronto",133 Excelsior Parade Toronto 2283,Toronto,2283,Lake Macquarie,New residential,Residential,Development approved,Determined,5068317.1,high,304099,506832,77,Medium priority,,10,10,,2,19.6,2026-07-10,2026-08-18,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-654413,DA/1503/2023/A,-33.022410785,151.604221399
TS-LAKE-379668,"Warehouse or distribution centre, Morisset",10 Brodie Street Morisset 2264,Morisset,2264,Lake Macquarie,Industrial,Industrial,Complying development approved,Approved,4953264.0,medium,495326,891588,77,Medium priority,,,,,1,35.4,2026-08-21,2026-08-21,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-379668,SC/6797262,-33.116924322,151.475826302
TS-MAIT-652388,"Centre-based child care, Chisholm",Ballymore Drive Chisholm 2322,Chisholm,2322,Maitland,Education,Government,Development approved,Determined,3364277.0,medium,370070,571927,77,Medium priority,,,,,,22.2,2026-07-02,2026-08-14,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-652388,DA/2024/742:2,-32.761250398,151.650663681
TS-NEWC-376088,"General industry, Black Hill",22 Viney Creek Drive Black Hill 2322,Black Hill,2322,Newcastle,Industrial,Industrial,Complying development approved,Approved,2926782.0,medium,292678,526821,77,Medium priority,,,,,,18.8,2026-08-06,2026-08-07,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-376088,20260662,-32.821157766,151.625551516
TS-LAKE-1004661,"Dwelling house, Toronto","9 James Street, Toronto",Toronto,2283,Lake Macquarie,New residential,Residential,Construction certificate lodged,Under Assessment,7040000.0,high,422400,704000,76,Medium priority,,0,,2172.0,1,19.9,2026-08-04,,Call within 2 weeks,Estimator or contracts administrator at the named builder,CFT-1004661,,-33.010225243,151.591722287
TS-NEWC-996126,"Dual occupancy (2 dwellings), Merewether",6 Hillcrest Road Merewether 2291,Merewether,2291,Newcastle,New residential,Residential,Construction certificate issued,Determined,2992140.0,high,179528,299214,76,Medium priority,DAYS BUILDING CONSTRUCTION PTY LTD,2,,350.0,3,3.8,2026-07-21,2026-08-18,Call this week,DAYS BUILDING CONSTRUCTION PTY LTD — site manager or contracts administrator,CFT-996126,,-32.950207472,151.751003423
TS-NEWC-976662,"Subdivision, The Junction",6 Kemp Street the Junction 2291,The Junction,2291,Newcastle,New residential,Residential,Construction certificate issued,Determined,2000000.0,medium,120000,200000,76,Medium priority,SNL Building Constructions Pty Ltd,0,,490.0,2,2.0,2026-06-19,2026-06-25,Call this week,SNL Building Constructions Pty Ltd — site manager or contracts administrator,CFT-976662,,-32.936979542,151.762456752
TS-LAKE-977741,"Dwelling house, Dudley",2 Bombala Street Dudley 2290,Dudley,2290,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,1916014.0,medium,114961,191601,76,Medium priority,THE HANDYMAN CAN,0,0,592.0,3,8.3,2026-06-25,2026-07-08,Call this week,THE HANDYMAN CAN — site manager or contracts administrator,CFT-977741,,-32.986458867,151.726335481
TS-MAIT-963278,"Office Premise, East Maitland",34 Melbourne Street East Maitland 2323,East Maitland,2323,Maitland,Retail,Commercial,Construction certificate issued,Determined,1193165.0,high,119316,190906,76,Medium priority,JOLANAH PTY LTD,0,,550.0,0,27.4,2026-05-29,2026-06-18,Call this week,JOLANAH PTY LTD — site manager or contracts administrator,CFT-963278,,-32.745345394,151.584475517
TS-LAKE-375413,"Industrial development, Morisset",2 Venture Close Morisset 2264,Morisset,2264,Lake Macquarie,Industrial,Industrial,Complying development approved,Approved,3320000.0,medium,332000,597600,75,Medium priority,,,,,,35.7,2026-07-31,2026-07-31,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-375413,C2026011A,-33.11985324,151.474981516
TS-MAIT-671711,"Warehouse or distribution centre, Thornton",31 Glenwood Drive Thornton 2322,Thornton,2322,Maitland,Industrial,Industrial,Development approved,Determined,2984505.0,medium,298450,537211,75,Medium priority,,,,,,20.9,2026-09-08,2026-09-09,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-671711,DA/2025/860:1,-32.78875301,151.632484346
TS-MAIT-366103,"General industry, Rutherford",58 Spitfire Place Rutherford 2320,Rutherford,2320,Maitland,Industrial,Industrial,Complying development approved,Approved,2023086.0,medium,202309,364155,75,Medium priority,,,,,,36.1,2026-06-18,2026-07-01,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-366103,23-7427-02,-32.701085413,151.505358225
TS-MAIT-361248,"General industry, Rutherford",25 Mustang Drive Rutherford 2320,Rutherford,2320,Maitland,Industrial,Industrial,Complying development approved,Approved,1773131.51,medium,177313,319164,75,Medium priority,,,,,,35.7,2026-05-28,2026-05-29,Call within 2 weeks,"Owner-builder, project home builder or certifier's client",CDC-361248,26/0013,-32.706748025,151.505762895
TS-NEWC-1014861,"Place of public worship, Beresfield",167 New England Highway Beresfield 2322,Beresfield,2322,Newcastle,Commercial,Commercial,Construction certificate lodged,Under Assessment,1200000.0,medium,108000,180000,75,Medium priority,,0,,2115.24,2,19.8,2026-08-20,,Call within 2 weeks,Estimator or contracts administrator at the named builder,CFT-1014861,,-32.796989333,151.637883112
TS-LAKE-995265,"Dwelling house, Coal Point",21A Grant Road Coal Point 2283,Coal Point,2283,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,3000000.0,medium,180000,300000,74,Medium priority,Graph Builders Pty Ltd,0,,0.0,0,20.7,2026-07-20,2026-07-24,Call this week,Graph Builders Pty Ltd — site manager or contracts administrator,CFT-995265,,-33.049269411,151.613456137
TS-NEWC-669427,"Shop top housing (4 dwellings), Merewether",190 Glebe Road Merewether 2291,Merewether,2291,Newcastle,Commercial,Commercial,Development approved,Determined,2579500.0,high,232155,386925,74,Medium priority,,4,3,,,3.0,2026-09-03,2026-09-03,Call within 4-6 weeks,Developer or project manager named on the DA,PAN-669427,MA2026/01274,-32.937930705,151.75149145
TS-LAKE-994223,"Dwelling house, Toronto",22 Renwick Street Toronto 2283,Toronto,2283,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,2000000.0,medium,120000,200000,74,Medium priority,INCREDIBUILT PTY LTD,0,2,258.0,2,19.4,2026-07-17,2026-07-30,Call this week,INCREDIBUILT PTY LTD — site manager or contracts administrator,CFT-994223,,-33.008025537,151.596178876
TS-LAKE-1005641,"Dwelling house, Warners Bay",91 Warners Bay Road Warners Bay 2282,Warners Bay,2282,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,2000000.0,high,120000,200000,74,Medium priority,Graph Builders Pty Ltd,1,,420.0,1,13.2,2026-08-10,2026-09-07,Call this week,Graph Builders Pty Ltd — site manager or contracts administrator,CFT-1005641,,-32.982094091,151.65567997
TS-LAKE-881123,"Dwelling house, Coal Point",133 Coal Point Road Coal Point 2283,Coal Point,2283,Lake Macquarie,New residential,Residential,Construction certificate issued,Determined,1700000.0,high,102000,170000,74,Medium priority,SNL Building Constructions Pty Ltd,1,,577.0,2,20.3,2026-06-04,2026-06-09,Call this week,SNL Building Constructions Pty Ltd — site manager or contracts administrator,CFT-881123,,-33.036266969,151.606567129
